Date,close,high,low,open,volume,ret
2015-10-08,21.185577392578125,21.185577392578125,21.04532279602224,21.04532279602224,2000,
2015-10-09,21.1505069732666,21.178558685702892,21.08037902975515,21.178558685702892,4300,-0.0016553912438472818
2015-10-12,21.28375244140625,21.3328416063778,21.22765034749884,21.3328416063778,2300,0.00629987112403807
2015-10-13,21.1505069732666,21.1505069732666,21.1505069732666,21.1505069732666,500,-0.006260431214207718
2015-10-14,21.1505069732666,21.1505069732666,21.1505069732666,21.1505069732666,0,0.0
2015-10-15,21.087390899658203,21.087390899658203,21.059340526208803,21.059340526208803,2500,-0.002984139987196266
2015-10-16,21.488523483276367,21.501146219349454,21.45626508273862,21.45626508273862,400,0.019022390466744143
2015-10-19,21.739580154418945,21.74659308272021,21.529197655698226,21.529197655698226,2000,0.011683290912843036
2015-10-20,21.760618209838867,21.99203948570542,21.73256649757419,21.99203948570542,3200,0.0009677305297750571
2015-10-21,21.778148651123047,21.778148651123047,21.778148651123047,21.778148651123047,400,0.0008056040097359496
2015-10-22,22.053749084472656,22.064267806687372,21.863703167673158,21.865807179631926,2200,0.0126549064277508
2015-10-23,21.788665771484375,21.788665771484375,21.69750039355266,21.776743929068992,3500,-0.012019875258983403
2015-10-26,21.81671905517578,21.823731982842837,21.75921385085343,21.75921385085343,600,0.0012875172801136703
2015-10-27,21.82233428955078,21.82373741046483,21.73958359511006,21.781659833997686,3400,0.0002573821646050245
2015-10-28,21.743091583251953,21.971007130566697,21.743091583251953,21.907892097081987,3200,-0.0036312662636083237
2015-10-29,21.841968536376953,21.841968536376953,21.74659511023051,21.760620968140717,3900,0.004547511228861323
2015-10-30,21.70452117919922,21.70452117919922,21.70452117919922,21.70452117919922,200,-0.0062928099611910815
2015-11-02,21.70452117919922,21.70452117919922,21.70452117919922,21.70452117919922,100,0.0
2015-11-03,21.985027313232422,22.16034650817434,21.96398852831084,22.16034650817434,500,0.01292385727919343
2015-11-04,21.89385986328125,22.104243692844918,21.89385986328125,22.104243692844918,1900,-0.004146797211222908
2015-11-05,21.809711456298828,21.935941509989394,21.704520190749864,21.935941509989394,23800,-0.0038434706126693197
2015-11-06,21.003238677978516,21.30478654945261,21.003238677978516,21.30478654945261,9000,-0.036977691334260876
2015-11-09,20.834936141967773,21.11123994793708,20.757796592207132,21.080383325485098,45500,-0.008013170663398905
