Date,close,high,low,open,volume,ret
2006-02-06,19.18509864807129,19.54977333961698,19.10582108101106,19.462567864641347,771500,
2006-02-07,18.630155563354492,19.185096972206782,18.590517539333767,19.06617987595723,674400,-0.02892573527489195
2006-02-08,18.550878524780273,18.764927489535065,18.495384684753564,18.622228179698535,335400,-0.004255307386168972
2006-02-09,18.72528839111328,18.883841994659733,18.63808292630186,18.67772094916506,705900,0.009401703865400846
2006-02-10,18.3843994140625,18.780785765737278,18.313049749793528,18.74907413179821,276700,-0.01820473842275039
2006-02-13,18.0989990234375,18.392325560902915,18.051433089178765,18.384397653177494,237600,-0.015524052986288672
2006-02-14,17.94837188720703,18.098999110527245,17.924589676010118,18.07521538723654,256400,-0.008322401478413899
2006-02-15,17.686758041381836,18.019722626975522,17.631264195798533,17.995940414350613,404800,-0.014575909584961577
2006-02-16,17.90080451965332,17.93251614816889,17.639189632774567,17.702611377712035,463600,0.012102075336287044
2006-02-17,18.15449333190918,18.170349147767443,17.980083893749764,18.011794013372466,467700,0.014171922383563018
2006-02-21,18.45574951171875,18.55088139158203,18.31305017982986,18.511243360321323,714100,0.016594028503129188
2006-02-22,18.15449333190918,18.471602088605316,18.11485530435735,18.35268649385599,543900,-0.016323161496003324
2006-02-23,18.0910701751709,18.3130470436609,17.948370867719735,18.114853897110663,380400,-0.0034935239215300173
2006-02-24,18.582590103149414,18.590518010573255,18.23376973696898,18.392324861258377,535300,0.02716920133630918
2006-02-27,18.21791648864746,18.431965482965087,18.17035054949708,18.392327452355424,664500,-0.019624477130351536
2006-02-28,18.463674545288086,18.471600940630783,18.12278208599037,18.273407791001294,579700,0.013489910154861562
2006-03-01,18.424036026000977,18.455747657498698,18.273408800574437,18.455747657498698,270500,-0.0021468380624822814
2006-03-02,18.757001876831055,18.804567815231227,18.447821009089044,18.519170672736266,885900,0.018072362123053853
2006-03-03,18.931411743164062,18.93933965175457,18.67772471664368,18.8442077728564,362900,0.00929838720912235
